序号,画面标识,结果,位置,置信度
339,D:/我的桌面/Video.mp4,Deer 鹿,"92,167,497,610",0.90
340,D:/我的桌面/Video.mp4,Deer 鹿,"93,167,497,609",0.89
341,D:/我的桌面/Video.mp4,Deer 鹿,"95,168,496,607",0.87
342,D:/我的桌面/Video.mp4,Deer 鹿,"96,167,495,604",0.84
343,D:/我的桌面/Video.mp4,Deer 鹿,"95,160,497,602",0.75
344,D:/我的桌面/Video.mp4,Deer 鹿,"13,7,635,639",0.54
345,D:/我的桌面/Video.mp4,Deer 鹿,"2,3,638,638",0.37
346,D:/我的桌面/Video.mp4,WildBoar 野猪,"2,1,638,639",0.33
347,D:/我的桌面/Video.mp4,Elephant 大象,"411,296,491,398",0.86
348,D:/我的桌面/Video.mp4,Elephant 大象,"222,298,303,404",0.53
349,D:/我的桌面/Video.mp4,Elephant 大象,"413,299,491,405",0.84
350,D:/我的桌面/Video.mp4,Elephant 大象,"225,305,301,392",0.81
351,D:/我的桌面/Video.mp4,Elephant 大象,"147,317,223,394",0.79
352,D:/我的桌面/Video.mp4,Elephant 大象,"530,245,596,315",0.79
353,D:/我的桌面/Video.mp4,Elephant 大象,"414,299,491,405",0.84
354,D:/我的桌面/Video.mp4,Elephant 大象,"226,305,301,391",0.82
355,D:/我的桌面/Video.mp4,Elephant 大象,"531,246,595,312",0.81
